model,held_out_plant,training_windows,test_windows,accuracy,precision_macro,recall_macro,f1_macro
Random Forest,P1,2400,600,0.6133333333333333,0.6587352777055033,0.6133333333333333,0.5835994164684403
Extra Trees,P1,2400,600,0.515,0.6096552320477611,0.5149999999999999,0.4557561103443456
KNN,P1,2400,600,0.5333333333333333,0.5388654692082112,0.5333333333333333,0.470355742901325
Random Forest,P2,2400,600,0.8066666666666666,0.8511060062462897,0.8066666666666666,0.7943930856022016
Extra Trees,P2,2400,600,0.7066666666666667,0.7484367998011018,0.7066666666666667,0.6523542656056133
KNN,P2,2400,600,0.5166666666666667,0.5387028081398461,0.5166666666666666,0.48675233225437003
Random Forest,P3,2400,600,0.8216666666666667,0.8413091787439614,0.8216666666666667,0.8039465634445657
Extra Trees,P3,2400,600,0.7733333333333333,0.7903545575579474,0.7733333333333333,0.7568654134639637
KNN,P3,2400,600,0.6783333333333333,0.7201602504019885,0.6783333333333332,0.6775872152835969
Random Forest,P4,2400,600,0.31,0.3886021872863978,0.31,0.24525441892907546
Extra Trees,P4,2400,600,0.31166666666666665,0.38667091119086094,0.31166666666666665,0.24244324106494108
KNN,P4,2400,600,0.42333333333333334,0.5352127139453793,0.42333333333333334,0.39779822008529625
Random Forest,P5,2400,600,0.3983333333333333,0.45627771734582884,0.3983333333333333,0.36225265327760636
Extra Trees,P5,2400,600,0.5566666666666666,0.6264889982645473,0.5566666666666666,0.5236751005442509
KNN,P5,2400,600,0.6666666666666666,0.7151565219650325,0.6666666666666667,0.6393869799721281
